년도,휘발유,경유,엘피지,하이브리드,전기,기타연료
2000,7213984 ,3594065 ,1214079 ,0 ,6 ,37142 
2001,7417458 ,4029650 ,1427699 ,0 ,2 ,39306 
2002,7672590 ,4607309 ,1625376 ,0 ,2 ,44163 
2003,7760783 ,5054689 ,1723458 ,0 ,2 ,47863 
2004,7702598 ,5385089 ,1793711 ,0 ,4 ,52690 
2005,7800253 ,5650004 ,1889593 ,0 ,5 ,56860 
2006,7915852 ,5869412 ,2047401 ,0 ,8 ,62561 
2007,8085475 ,6087255 ,2187066 ,0 ,15 ,68366 
2008,8256752 ,6136884 ,2321272 ,3657 ,0 ,75654 
2009,8556488 ,6284554 ,2390962 ,10742 ,0 ,82464 
2010,8907069 ,6483423 ,2443575 ,19167 ,66 ,88056 
2011,9170450 ,6704991 ,2429298 ,38482 ,344 ,93808 
2012,9276235 ,7001950 ,2415485 ,75003 ,860 ,101000 
2013,9399738 ,7395739 ,2391988 ,103580 ,1464 ,108355 
2014,9587351 ,7938627 ,2336656 ,137522 ,2775 ,115024 
